label,nodes,quorum,round,consensus_ms
q4p3,5,4,9,23.131
q4p3,5,4,10,25.455
q4p3,5,4,11,23.983
q4p3,5,4,12,22.499
q4p3,5,4,13,25.386
q4p3,5,4,14,25.308
q4p3,5,4,15,24.857
q4p3,5,4,16,24.229
q4p3,5,4,17,23.420
q4p3,5,4,18,26.461
q4p3,5,4,19,27.712
q4p3,5,4,20,29.339
q2p3,5,2,1,5.234
q2p3,5,2,2,5.351
q2p3,5,2,3,4.590
q2p3,5,2,4,9.365
q2p3,5,2,5,4.650
q2p3,5,2,6,6.110
q2p3,5,2,7,5.269
q2p3,5,2,8,4.847
q2p3,5,2,9,6.888
q2p3,5,2,10,5.825
q2p3,5,2,11,8.259
q2p3,5,2,12,6.254
q2p3,5,2,13,5.369
q2p3,5,2,14,3.940
q2p3,5,2,15,8.895
q2p3,5,2,16,10.370
q2p3,5,2,17,8.317
q2p3,5,2,18,9.154
q2p3,5,2,19,11.932
q2p3,5,2,20,8.295
